text,labels
Am easily intimidated.,4
Get irritated easily.,4
Am always prepared.,4
Feel sympathy for those who are worse off than myself.,4
Get upset easily.,4
Do a lot in my spare time.,4
React quickly.,4
Enjoy being reckless.,4
Love life.,4
Am not easily bothered by things.,4
Seldom get emotional.,4
Like to take it easy.,4
Remain calm under pressure.,4
Can handle complex problems.,4
Know how to cope.,4
Amuse my friends.,4
Am not bothered by difficult social situations.,4
Dislike new foods.,4
Have difficulty imagining things.,4
Believe that people are essentially evil.,4
Don't understand people who get emotional.,4
Hold a grudge.,4
Avoid difficult reading material.,4
Am calm even in tense situations.,4
Can't stand weak people.,4
Am easily intimidated.,4
Get irritated easily.,4
Am always prepared.,4
Feel sympathy for those who are worse off than myself.,4
Get upset easily.,4
Do a lot in my spare time.,4
React quickly.,4
Enjoy being reckless.,4
Love life.,4
Am not easily bothered by things.,4
Seldom get emotional.,4
Like to take it easy.,4
Remain calm under pressure.,4
Can handle complex problems.,4
Know how to cope.,4
Amuse my friends.,4
Am not bothered by difficult social situations.,4
Dislike new foods.,4
Have difficulty imagining things.,4
Believe that people are essentially evil.,4
Don't understand people who get emotional.,4
Hold a grudge.,4
Avoid difficult reading material.,4
Am calm even in tense situations.,4
Can't stand weak people.,4
Am easily intimidated.,4
Get irritated easily.,4
Am always prepared.,4
Feel sympathy for those who are worse off than myself.,4
Get upset easily.,4
Do a lot in my spare time.,4
React quickly.,4
Enjoy being reckless.,4
Love life.,4
Am not easily bothered by things.,4
Seldom get emotional.,4
Like to take it easy.,4
Remain calm under pressure.,4
Can handle complex problems.,4
Know how to cope.,4
Amuse my friends.,4
Am not bothered by difficult social situations.,4
Dislike new foods.,4
Have difficulty imagining things.,4
Believe that people are essentially evil.,4
Don't understand people who get emotional.,4
Hold a grudge.,4
Avoid difficult reading material.,4
Am calm even in tense situations.,4
Can't stand weak people.,4
Am easily intimidated.,4
Get irritated easily.,4
Am always prepared.,4
Feel sympathy for those who are worse off than myself.,4
Get upset easily.,4
Do a lot in my spare time.,4
React quickly.,4
Enjoy being reckless.,4
Love life.,4
Am not easily bothered by things.,4
Seldom get emotional.,4
Like to take it easy.,4
Remain calm under pressure.,4
Can handle complex problems.,4
Know how to cope.,4
Amuse my friends.,4
Am not bothered by difficult social situations.,4
Dislike new foods.,4
Have difficulty imagining things.,4
Believe that people are essentially evil.,4
Don't understand people who get emotional.,4
Hold a grudge.,4
Avoid difficult reading material.,4
Am calm even in tense situations.,4
Can't stand weak people.,4
Worry about things.,3
Trust others.,3
Experience my emotions intensely.,3
Try to follow the rules.,3
Go straight for the goal.,3
Love excitement.,3
Radiate joy.,3
Fear for the worst.,3
Warm up quickly to others.,3
Excel in what I do.,3
Talk to a lot of different people at parties.,3
Try to lead others.,3
Feel others' emotions.,3
Anticipate the needs of others.,3
Can't stand confrontations.,3
Am afraid of many things.,3
Love to daydream.,3
See beauty in things that others might not notice.,3
Love to help others.,3
Pay my bills on time.,3
Believe that criminals should receive help rather than punishment.,3
Believe that people are basically moral.,3
Enjoy examining myself and my life.,3
Am afraid to draw attention to myself.,3
Can manage many things at the same time.,3
Plunge into tasks with all my heart.,3
Go on binges.,3
Get to work at once.,3
Can't make up my mind.,3
Indulge in my fantasies.,3
Have frequent mood swings.,3
Prefer to stick with things that I know.,3
Carry out my plans.,3
Think that all will be well.,3
Know how to get things done.,3
Feel desperate.,3
Love a good fight.,3
Set high standards for myself and others.,3
Believe that too much tax money goes to support artists.,3
Misjudge situations.,3
Put people under pressure.,3
Feel that my life lacks direction.,3
Like to take my time.,3
Demand quality.,3
Laugh aloud.,3
Do not enjoy going to art museums.,3
Leave my belongings around.,3
Know the answers to many questions.,3
Need a push to get started.,3
Have little to contribute.,3
Keep my cool.,3
Avoid crowds.,3
Am not bothered by messy people.,3
Feel comfortable with myself.,3
Don't like to draw attention to myself.,3
Do the opposite of what is asked.,3
Am not interested in theoretical discussions.,3
Have difficulty starting tasks.,3
Keep others at a distance.,3
Do not enjoy watching dance performances.,3
Obstruct others' plans.,3
Am very pleased with myself.,3
Am able to stand up for myself.,3
Worry about things.,3
Trust others.,3
Experience my emotions intensely.,3
Try to follow the rules.,3
Go straight for the goal.,3
Love excitement.,3
Radiate joy.,3
Fear for the worst.,3
Warm up quickly to others.,3
Excel in what I do.,3
Talk to a lot of different people at parties.,3
Try to lead others.,3
Feel others' emotions.,3
Anticipate the needs of others.,3
Can't stand confrontations.,3
Am afraid of many things.,3
Love to daydream.,3
See beauty in things that others might not notice.,3
Love to help others.,3
Pay my bills on time.,3
Believe that criminals should receive help rather than punishment.,3
Believe that people are basically moral.,3
Enjoy examining myself and my life.,3
Am afraid to draw attention to myself.,3
Can manage many things at the same time.,3
Plunge into tasks with all my heart.,3
Go on binges.,3
Get to work at once.,3
Can't make up my mind.,3
Indulge in my fantasies.,3
Have frequent mood swings.,3
Prefer to stick with things that I know.,3
Carry out my plans.,3
Think that all will be well.,3
Know how to get things done.,3
Feel desperate.,3
Love a good fight.,3
Set high standards for myself and others.,3
Believe that too much tax money goes to support artists.,3
Misjudge situations.,3
Put people under pressure.,3
Feel that my life lacks direction.,3
Like to take my time.,3
Demand quality.,3
Laugh aloud.,3
Do not enjoy going to art museums.,3
Leave my belongings around.,3
Know the answers to many questions.,3
Need a push to get started.,3
Have little to contribute.,3
Keep my cool.,3
Avoid crowds.,3
Am not bothered by messy people.,3
Feel comfortable with myself.,3
Don't like to draw attention to myself.,3
Do the opposite of what is asked.,3
Am not interested in theoretical discussions.,3
Have difficulty starting tasks.,3
Keep others at a distance.,3
Do not enjoy watching dance performances.,3
Obstruct others' plans.,3
Am very pleased with myself.,3
Am able to stand up for myself.,3
Get angry easily.,1
Am easy to satisfy.,1
Panic easily.,1
Tend to vote for liberal political candidates.,1
Avoid mistakes.,1
Am afraid that I will do the wrong thing.,1
Am always on the go.,1
Work hard.,1
Seek adventure.,1
Become overwhelmed by events.,1
Have a lot of fun.,1
Handle tasks smoothly.,1
Am often down in the dumps.,1
Hate to seem pushy.,1
Love action.,1
Involve others in what I am doing.,1
Can handle a lot of information.,1
Laugh my way through life.,1
Get caught up in my problems.,1
Cheer people up.,1
Come up with good solutions.,1
Enjoy the beauty of nature.,1
Know how to get around the rules.,1
Listen to my conscience.,1
Prefer to be alone.,1
Do not like art.,1
Cheat to get ahead.,1
Break rules.,1
Act wild and crazy.,1
Think highly of myself.,1
Seldom daydream.,1
Distrust people.,1
Easily resist temptations.,1
Willing to try anything once.,1
Believe in an eye for an eye.,1
Am not easily annoyed.,1
Have little to say.,1
Insult people.,1
Do crazy things.,1
Readily overcome setbacks.,1
Believe that we should be tough on crime.,1
Seek quiet.,1
Am attached to conventional ways.,1
Often make last-minute plans.,1
Get angry easily.,1
Am easy to satisfy.,1
Panic easily.,1
Tend to vote for liberal political candidates.,1
Avoid mistakes.,1
Am afraid that I will do the wrong thing.,1
Am always on the go.,1
Work hard.,1
Seek adventure.,1
Become overwhelmed by events.,1
Have a lot of fun.,1
Handle tasks smoothly.,1
Am often down in the dumps.,1
Hate to seem pushy.,1
Love action.,1
Involve others in what I am doing.,1
Can handle a lot of information.,1
Laugh my way through life.,1
Get caught up in my problems.,1
Cheer people up.,1
Come up with good solutions.,1
Enjoy the beauty of nature.,1
Know how to get around the rules.,1
Listen to my conscience.,1
Prefer to be alone.,1
Do not like art.,1
Cheat to get ahead.,1
Break rules.,1
Act wild and crazy.,1
Think highly of myself.,1
Seldom daydream.,1
Distrust people.,1
Easily resist temptations.,1
Willing to try anything once.,1
Believe in an eye for an eye.,1
Am not easily annoyed.,1
Have little to say.,1
Insult people.,1
Do crazy things.,1
Readily overcome setbacks.,1
Believe that we should be tough on crime.,1
Seek quiet.,1
Am attached to conventional ways.,1
Often make last-minute plans.,1
Get angry easily.,1
Am easy to satisfy.,1
Panic easily.,1
Tend to vote for liberal political candidates.,1
Avoid mistakes.,1
Am afraid that I will do the wrong thing.,1
Am always on the go.,1
Work hard.,1
Seek adventure.,1
Become overwhelmed by events.,1
Have a lot of fun.,1
Handle tasks smoothly.,1
Am often down in the dumps.,1
Hate to seem pushy.,1
Love action.,1
Involve others in what I am doing.,1
Can handle a lot of information.,1
Laugh my way through life.,1
Get caught up in my problems.,1
Cheer people up.,1
Come up with good solutions.,1
Enjoy the beauty of nature.,1
Know how to get around the rules.,1
Listen to my conscience.,1
Prefer to be alone.,1
Do not like art.,1
Cheat to get ahead.,1
Break rules.,1
Act wild and crazy.,1
Think highly of myself.,1
Seldom daydream.,1
Distrust people.,1
Easily resist temptations.,1
Willing to try anything once.,1
Believe in an eye for an eye.,1
Am not easily annoyed.,1
Have little to say.,1
Insult people.,1
Do crazy things.,1
Readily overcome setbacks.,1
Believe that we should be tough on crime.,1
Seek quiet.,1
Am attached to conventional ways.,1
Often make last-minute plans.,1
Often feel blue.,0
Make people feel welcome.,0
Am always busy.,0
Dislike being the center of attention.,0
Like music.,0
Like to visit new places.,0
Don't know why I do some of the things I do.,0
Love to read challenging material.,0
Dislike talking about myself.,0
Do things I later regret.,0
Have a rich vocabulary.,0
Start tasks right away.,0
Get stressed out easily.,0
Love order and regularity.,0
Have a sharp tongue.,0
Enjoy being part of a loud crowd.,0
Suffer from others' sorrows.,0
Do things according to a plan.,0
Take control of things.,0
Contradict others.,0
Tend to vote for conservative political candidates.,0
Make rash decisions.,0
Find it difficult to get down to work.,0
Like to act on a whim.,0
Often feel uncomfortable around others.,0
Leave a mess in my room.,0
Keep in the background.,0
Am not easily affected by my emotions.,0
Break my promises.,0
Waste my time.,0
Rush into things.,0
Am not easily disturbed by events.,0
Avoid contacts with others.,0
Do not have a good imagination.,0
Suspect hidden motives in others.,0
Don't like crowded events.,0
Rarely notice my emotional reactions.,0
Am comfortable in unfamiliar situations.,0
Am a creature of habit.,0
Seek danger.,0
Am not really interested in others.,0
Am wary of others.,0
Do not like concerts.,0
Take advantage of others.,0
Turn my back on others.,0
Let things proceed at their own pace.,0
Do just enough work to get by.,0
Never spend more than I can afford.,0
Rarely complain.,0
Hold back my opinions.,0
Take no time for others.,0
Put little time and effort into my work.,0
Never splurge.,0
Dislike loud music.,0
Seldom joke around.,0
Often feel blue.,0
Make people feel welcome.,0
Am always busy.,0
Dislike being the center of attention.,0
Like music.,0
Like to visit new places.,0
Don't know why I do some of the things I do.,0
Love to read challenging material.,0
Dislike talking about myself.,0
Do things I later regret.,0
Have a rich vocabulary.,0
Start tasks right away.,0
Get stressed out easily.,0
Love order and regularity.,0
Have a sharp tongue.,0
Enjoy being part of a loud crowd.,0
Suffer from others' sorrows.,0
Do things according to a plan.,0
Take control of things.,0
Contradict others.,0
Tend to vote for conservative political candidates.,0
Make rash decisions.,0
Find it difficult to get down to work.,0
Like to act on a whim.,0
Often feel uncomfortable around others.,0
Leave a mess in my room.,0
Keep in the background.,0
Am not easily affected by my emotions.,0
Break my promises.,0
Waste my time.,0
Rush into things.,0
Am not easily disturbed by events.,0
Avoid contacts with others.,0
Do not have a good imagination.,0
Suspect hidden motives in others.,0
Don't like crowded events.,0
Rarely notice my emotional reactions.,0
Am comfortable in unfamiliar situations.,0
Am a creature of habit.,0
Seek danger.,0
Am not really interested in others.,0
Am wary of others.,0
Do not like concerts.,0
Take advantage of others.,0
Turn my back on others.,0
Let things proceed at their own pace.,0
Do just enough work to get by.,0
Never spend more than I can afford.,0
Rarely complain.,0
Hold back my opinions.,0
Take no time for others.,0
Put little time and effort into my work.,0
Never splurge.,0
Dislike loud music.,0
Seldom joke around.,0
Have a vivid imagination.,2
Complete tasks successfully.,2
Love large parties.,2
Believe in the importance of art.,2
Would never cheat on my taxes.,2
Like order.,2
Take charge.,2
Prefer variety to routine.,2
Often eat too much.,2
Like to solve complex problems.,2
Get chores done right away.,2
Sympathize with the homeless.,2
Believe that others have good intentions.,2
Stick to the rules.,2
Keep my promises.,2
Believe that there is no absolute right or wrong.,2
Feel comfortable around people.,2
Trust what people say.,2
Use flattery to get ahead.,2
"Want everything to be ""just right.""",2
Can talk others into doing things.,2
Am passionate about causes.,2
Find it difficult to approach others.,2
Interested in many things.,2
Consider myself an average person.,2
Value cooperation over competition.,2
Act comfortably with others.,2
Like to get lost in thought.,2
Am often in a bad mood.,2
Have a low opinion of myself.,2
Am concerned about others.,2
Like to begin new things.,2
Seldom toot my own horn.,2
Believe in one true religion.,2
Jump into things without thinking.,2
Believe in human goodness.,2
Love surprise parties.,2
Try to understand myself.,2
Have a good word for everyone.,2
Only feel comfortable with friends.,2
Do more than what's expected of me.,2
Love to eat.,2
Enjoy thinking about things.,2
Believe that I am better than others.,2
Get overwhelmed by emotions.,2
Am not interested in other people's problems.,2
Spend time reflecting on things.,2
Often forget to put things back in their proper place.,2
Wait for others to lead the way.,2
Stumble over my words.,2
Dislike changes.,2
Rarely overindulge.,2
Am not interested in abstract ideas.,2
Look at the bright side of life.,2
Tend to dislike soft-hearted people.,2
Am relaxed most of the time.,2
Seldom get mad.,2
Want to be left alone.,2
Do not like poetry.,2
Am indifferent to the feelings of others.,2
Am not embarrassed easily.,2
Don't like the idea of change.,2
Avoid philosophical discussions.,2
Have a high opinion of myself.,2
Believe laws should be strictly enforced.,2
Don't understand things.,2
Pretend to be concerned for others.,2
Seldom feel blue.,2
Make people feel uncomfortable.,2
Get others to do my duties.,2
Like a leisurely lifestyle.,2
Am not highly motivated to succeed.,2
Am able to control my cravings.,2
Have difficulty understanding abstract ideas.,2
Believe that we coddle criminals too much.,2
Don't worry about things that have already happened.,2
Seldom get lost in thought.,2
Get back at others.,2
Would never go hang gliding or bungee jumping.,2
Am not easily amused.,2
Act without thinking.,2
Adapt easily to new situations.,2
Am not bothered by disorder.,2
Misrepresent the facts.,2
React slowly.,2
Make myself the center of attention.,2
Postpone decisions.,2
